Condition,PropertyType,PropertySubType,Bedrooms,Bathrooms,AreaNet,AreaGross,Parking,Latitude,Longitude,Parish,Price,PricePerBedroom,BathroomToBedroom,AreaUtilizationRatio,PropertyCategory
New,Homes,Apartment,1,1,38.0,76.0,0,38.7169,-9.1344,Santa Maria Maior,350000,350000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,32.0,64.0,0,38.7169,-9.1344,Santa Maria Maior,255000,255000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,48.0,96.0,0,38.7169,-9.1344,Santa Maria Maior,355000,355000.0,1.0,0.5,Homes_Apartment
New,Homes,Duplex,1,1,41.0,82.0,0,38.7253,-9.1296,Penha de Franca,295000,295000.0,1.0,0.5,Homes_Duplex
New,Homes,Apartment,2,2,111.0,222.0,2,38.7214,-9.1607,Campo de Ourique,778000,389000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,87.0,174.0,2,38.7214,-9.1607,Campo de Ourique,665000,332500.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,87.0,174.0,2,38.7214,-9.1607,Campo de Ourique,665000,332500.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,93.0,186.0,2,38.7214,-9.1607,Campo de Ourique,705000,352500.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,82.0,164.0,2,38.7214,-9.1607,Campo de Ourique,627000,313500.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,80.0,160.0,2,38.7214,-9.1607,Campo de Ourique,598000,299000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,69.0,138.0,2,38.7214,-9.1607,Campo de Ourique,515000,257500.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,69.0,138.0,2,38.7214,-9.1607,Campo de Ourique,515000,257500.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,47.0,94.0,1,38.7214,-9.1607,Campo de Ourique,349000,349000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,47.0,94.0,1,38.7214,-9.1607,Campo de Ourique,349000,349000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,48.0,96.0,1,38.7214,-9.1607,Campo de Ourique,365000,365000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,50.0,100.0,0,38.7176,-9.1527,Santo Antonio,275000,275000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,2,2,93.0,186.0,2,38.7214,-9.1607,Campo de Ourique,705000,352500.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,41.0,82.0,1,38.7214,-9.1607,Campo de Ourique,315000,315000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,47.0,94.0,1,38.7214,-9.1607,Campo de Ourique,349000,349000.0,1.0,0.5,Homes_Apartment
New,Homes,Apartment,1,1,48.0,96.0,1,38.7214,-9.1607,Campo de Ourique,365000,365000.0,1.0,0.5,Homes_Apartment
